id,responded_at,week_number,experience_rating,reason
60491,2018-09-10 10:50:47 UTC,1,3,""
60882,2018-09-11 07:16:55 UTC,1,3,"Im paranoid about my online privacy, this week confirmed I am doing most things right and I learned a few more strategies which I can use moving forward."
61034,2018-09-11 13:42:18 UTC,1,3,""
61062,2018-09-11 14:49:25 UTC,1,2,""
61746,2018-09-13 13:08:45 UTC,2,3,very insightful!
61818,2018-09-13 16:31:07 UTC,1,3,It is very good
61981,2018-09-14 06:48:46 UTC,1,3,This is my first online course and I'm very happy with the quality of the content and I've learned more than expected.
62596,2018-09-16 01:13:57 UTC,1,3,Excelente 
63033,2018-09-17 07:18:39 UTC,1,3,"Its is a very interesting and helpful course and open our minds on what is happening on line and how to protect ourselves, our companies and family."
63183,2018-09-17 12:51:26 UTC,1,3,"easy and useful info
"
63319,2018-09-17 17:13:30 UTC,1,3,""
63355,2018-09-17 18:41:54 UTC,1,2,""
63690,2018-09-18 13:28:10 UTC,2,3,Only one spelling mistake...
63972,2018-09-19 05:27:53 UTC,1,3,"Great info, crucial to everyday activities. "
64236,2018-09-19 16:34:51 UTC,2,3,"Lots of useful practical information, and theoretical concepts. Fab week."
64486,2018-09-20 09:28:33 UTC,2,3,""
64568,2018-09-20 12:39:48 UTC,2,3,""
64620,2018-09-20 14:16:33 UTC,2,3,Interesting and clearly explained.
64621,2018-09-20 14:16:40 UTC,2,3,Educational & Easy to access and enjoy around doing my day time job.
64632,2018-09-20 14:32:56 UTC,2,3,Learned quite a few things I didn't know. Faraday Wallet for one!
64634,2018-09-20 14:35:08 UTC,2,3,"My background is financial economics (ex LSE). This week has been most enjoyable, would you believe? It has opened my eyes in many ways. Congratulations.

Gérard COLLEY
"
64737,2018-09-20 18:49:17 UTC,1,3,""
64956,2018-09-21 11:03:39 UTC,1,2,""
65051,2018-09-21 14:54:46 UTC,1,3,""
65078,2018-09-21 15:50:41 UTC,1,3,""
65264,2018-09-22 06:37:27 UTC,1,3,""
65617,2018-09-23 08:51:45 UTC,2,3,""
