id,first_name,last_name,team_role,user_role
f27eec8c-eaf1-4e6a-90f0-d6d5b653285d,FIRST,LAST,host,organisation_admin
77454a73-6b8b-46a2-8dee-35f36b6c4fc1,FIRST,LAST,host,organisation_admin
a4fa6f89-a596-4d00-9397-420a348c398d,FIRST,LAST,lead_educator,organisation_admin
21d74c76-2b0d-4dfd-a252-f6dcf2100874,FIRST,LAST,educator,learner
3e58d103-57b3-4d46-ac62-69a8b30b7835,FIRST,LAST,educator,learner
85ea97bb-17d6-4bf7-ad74-dfb91f45aeb6,FIRST,LAST,educator,learner
f3fad1f5-25c4-4916-9c6a-1a94610b78ca,FIRST,LAST,educator,learner
5553e67a-1780-42f3-8355-077673d80ad5,FIRST,LAST,educator,learner
66e7d94a-893a-449a-b774-92d4a40e9a8b,FIRST,LAST,educator,learner
bee0f2b3-64ba-4213-8f9e-a8fe7221e15a,FIRST,LAST,educator,learner
18698a08-a488-4402-ab20-f4faba3533de,FIRST,LAST,mentor,learner
67076f83-3b89-48a2-be54-6544f883f73c,FIRST,LAST,mentor,learner
fea47363-c290-4869-903e-e78a231462a1,FIRST,LAST,mentor,learner
20014281-74c6-4fb5-aaa0-84b5200f1e83,FIRST,LAST,reviewer,learner
41ad5273-6853-43d7-b615-06f8e808cea1,FIRST,LAST,facilitator,learner
