id,learner_id,responded_at,archetype
669320,a40cf98a-3c58-42f4-b354-010dc2f0d585,2017-12-15 22:35:55 UTC,Vitalisers
670746,f91b7ed8-6f24-4640-93c9-432ecaaf7a74,2018-01-18 01:48:49 UTC,Fixers
672403,971ce4dd-79a1-4cc8-8ede-aa640377d126,2017-12-17 08:24:37 UTC,Fixers
672612,1c092421-43b6-4040-86b4-9960fcb3d19e,2017-12-21 11:09:20 UTC,Vitalisers
673307,532b41f3-e1ca-4f37-b420-41402eb166bb,2017-12-18 01:48:17 UTC,Vitalisers
675375,bcc716a0-dede-4553-bc3b-22066ca29e85,2018-01-09 11:35:31 UTC,Vitalisers
679519,ad41088f-4e2e-40b8-ba10-0d659a0c1245,2017-12-17 13:52:24 UTC,Advancers
686101,40207781-50bb-4d85-8367-83c3dd043d4b,2018-01-09 08:34:06 UTC,Explorers
692320,295a7c98-e77e-44d5-b475-0eafdddb24f0,2017-12-18 17:35:53 UTC,Other
697578,1a818bcb-d057-4cfa-93e2-4055c36dd947,2018-01-23 12:22:10 UTC,Fixers
702414,cb1bdfee-8d60-4afb-bdc6-72bf40f368ce,2017-12-19 12:33:22 UTC,Advancers
704653,701b85b9-1b29-451a-a118-fb94cb799321,2017-12-21 16:09:34 UTC,Fixers
717540,4e7ac399-d259-4120-9ef1-c6943cf88e04,2017-12-21 11:22:48 UTC,Advancers
725780,40ee36c0-5622-4dd9-89f6-a10a1a1012d1,2018-02-06 17:33:03 UTC,Hobbyists
728897,3f7ae718-00b1-47cd-87da-b20a64c1969f,2017-12-24 02:51:06 UTC,Preparers
735621,fc383178-51e6-4c46-8064-d9c97f37d476,2017-12-31 17:13:10 UTC,Advancers
760357,0078ca73-0635-4354-af22-cc4b935dbeea,2017-12-27 21:47:21 UTC,Hobbyists
765464,5605b656-490b-4556-8339-7ce8942c86d0,2017-12-28 13:07:27 UTC,Explorers
768159,274b074d-31e6-4238-87ff-c16a9ebcbe63,2017-12-28 20:02:35 UTC,Explorers
788915,7de4fb9f-ae9d-4f23-aadc-6473d7c01975,2018-01-02 04:40:48 UTC,Preparers
798359,662f803a-add6-4413-ad70-4acc85d7a8a4,2018-01-08 23:12:55 UTC,Advancers
800990,94788a8f-2a28-4e31-9cbd-7466bc840848,2018-01-07 21:36:36 UTC,Vitalisers
816992,6cfaa598-e213-4bef-8f6e-457e72fa0265,2018-01-21 00:43:38 UTC,Flourishers
832214,6af2c166-0ed3-4ec5-bd5e-33906c54086d,2018-01-03 23:23:15 UTC,Fixers
833983,1851c1c6-7715-4ca0-a270-213db3a58159,2018-01-04 19:26:38 UTC,Advancers
854042,ae08d6af-38a7-4774-95df-c34b9713a3c9,2018-01-05 12:08:26 UTC,Explorers
896851,b58e2472-4989-49cd-b7fc-1c75aaa99e65,2018-03-08 16:39:03 UTC,Advancers
953912,0e183fd6-d219-4a29-ad0a-00c39a6b7ce3,2018-01-14 12:14:58 UTC,Explorers
958067,7d5069f5-ded5-46ba-bcc1-3c1129eee248,2018-01-14 21:49:29 UTC,Vitalisers
973369,5da672ef-62e7-42ec-a4be-78e6cbd50465,2018-01-15 20:55:37 UTC,Advancers
984362,ff764847-41f9-434f-9ac4-c79246e787f2,2018-01-16 16:42:20 UTC,Vitalisers
990679,b3741430-f5c5-4025-83cc-241ba9dab752,2018-01-17 09:39:17 UTC,Fixers
1000991,ab49e85d-dea8-40f2-a0cf-4cc943a8d59e,2018-01-18 10:23:50 UTC,Fixers
1016098,d013dfa9-b3b3-4377-a524-e2edce528e6a,2018-01-19 15:23:15 UTC,Explorers
1021170,b5cf32df-4d0a-4903-a28b-8fe94d7aac42,2018-01-20 09:36:46 UTC,Fixers
1022470,1410043b-4e13-48bc-ac37-d6cdca0eb234,2018-02-14 10:48:58 UTC,Advancers
1025687,74dc8862-8271-4701-bd03-fad3ccea8452,2018-01-20 21:18:37 UTC,Explorers
1037296,1319795f-71fe-4b22-9e18-25465276fbe1,2018-01-22 17:43:22 UTC,Vitalisers
