id,learner_id,responded_at,archetype
4605,091df104-705f-4ee2-a67b-9d90043c4f56,2017-10-03 21:55:21 UTC,Other
23130,c366b969-a63a-47da-81f1-12003004ae8d,2017-10-07 22:41:50 UTC,Other
23500,d8858d3b-3f56-40e9-abb0-49719e511df6,2017-11-28 18:28:23 UTC,Other
31206,e8818a1d-c40f-42f2-8681-f9e98aa776f8,2017-10-08 11:10:26 UTC,Flourishers
35756,8b7ad9ff-3665-44f3-854b-6c70f48b464d,2017-11-06 23:05:26 UTC,Fixers
61535,5647c7b8-71ea-48b1-a870-33aeb9e8eeee,2017-10-11 13:31:54 UTC,Hobbyists
77885,3d4401fd-5492-4b50-87d5-badcbf401dbe,2017-10-13 16:23:56 UTC,Explorers
87450,62ec5ce3-31e3-474b-a05f-bd24986ed0e8,2017-10-15 16:20:21 UTC,Preparers
88481,2c0b1dfe-94b1-4f2f-b9f3-90c6afa36f97,2017-10-16 06:48:03 UTC,Hobbyists
119986,3c131ca5-ba0a-41d7-82de-10309a754850,2017-10-18 20:10:04 UTC,Vitalisers
120766,84155054-9e2e-4faa-9112-827fc87ca35a,2017-10-18 19:09:46 UTC,Preparers
124618,48b2b35b-66e9-4e0b-9506-9345c5347e9b,2017-11-13 14:21:38 UTC,Hobbyists
126055,d69f19f1-81a8-445d-8d31-d0fd30c62534,2017-10-19 12:29:43 UTC,Vitalisers
126867,4279c123-c52f-40c6-9393-fca600c4f197,2017-10-19 14:14:23 UTC,Other
127497,a07b19c1-085c-44e8-9744-a7f6b0e99de9,2017-10-30 15:20:04 UTC,Fixers
127972,dda0936e-071a-46b3-b91f-16c9b69253b3,2017-11-19 12:17:12 UTC,Hobbyists
138870,532b41f3-e1ca-4f37-b420-41402eb166bb,2017-10-22 02:53:10 UTC,Vitalisers
146922,e008f714-9203-4614-a4bc-68dfc576e6df,2017-10-23 03:02:06 UTC,Vitalisers
147259,d77838d5-8760-4afa-90a5-aa151b02b088,2017-10-24 04:33:06 UTC,Fixers
149938,40042923-12ac-408f-8b01-ee06afbd4d25,2017-10-23 12:52:25 UTC,Preparers
159397,7fb45469-e4c6-4c9f-aea5-43384f0276eb,2017-10-25 06:52:02 UTC,Advancers
163450,16c7a259-7608-4ed9-b974-9e0733720cbd,2017-10-24 19:23:05 UTC,Preparers
165879,98f0d911-662a-4191-9e23-ba5adbf1d69f,2017-10-25 07:33:55 UTC,Flourishers
168883,e02fab48-3e3b-42c5-80de-66c579910e87,2017-10-25 11:40:59 UTC,Fixers
173708,289e3e50-c776-4e53-894c-d093dd6465bc,2017-11-07 16:11:23 UTC,Explorers
177369,7ea3b0ad-96bd-45fd-a7b8-9e5fb74c15c8,2017-10-30 12:30:23 UTC,Other
200018,03e35cb9-6d1a-4673-9596-31f06ab80c83,2017-11-19 09:49:24 UTC,Explorers
208729,b89a2ebc-fcdd-4d4e-906b-61cfcdd5cfed,2017-11-08 15:47:08 UTC,Advancers
208857,7adcf337-4946-465d-926f-2d0b07acb5b5,2017-10-30 15:20:51 UTC,Hobbyists
211640,1d056ef1-b54a-4234-b9a8-7512942b6864,2017-10-30 15:59:43 UTC,Vitalisers
211857,295a7c98-e77e-44d5-b475-0eafdddb24f0,2017-10-30 16:16:59 UTC,Advancers
212608,dcd74a9d-bf16-4efd-90d0-39504e64abba,2017-10-31 16:53:57 UTC,Fixers
213094,377882b7-cb7d-49a4-95d2-2dac35a3da74,2017-10-30 17:27:13 UTC,Hobbyists
214454,675d78a8-e447-465d-ad45-2e9ec5058d61,2017-12-21 15:22:08 UTC,Vitalisers
214826,99955a79-f5ad-473c-8e8c-a3bbad98fc5c,2017-10-30 19:48:47 UTC,Vitalisers
217545,d8870b63-df5a-451d-a1ec-b1dddf5de28e,2017-10-31 05:03:21 UTC,Fixers
217715,40d560f5-abeb-4d46-873c-9df88a9b6871,2017-11-13 00:34:22 UTC,Hobbyists
